mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
18	18	68	68	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	228				41				
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	229				41				
18	18	69	69	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	230				41				
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	231				41				
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	232				41				
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	233				41				
18	18	70	70	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	234				41				
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	235				41				
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	236				41				
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	237				41				
18	18	71	71	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	238				41				
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	239				41				
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	240				41				
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	241								
19	19	151/2	151/2	0.0	7/8	7/8	Dynamic	4/4	1	1	0					p							
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	242				42				
20	20	76	76	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12""/>espressivo assai"					
20	20	76	76	0.0	0	0	StaffText	6/8	1	1	0							Adagio dolente					
20	20	76	76	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	243								
20	20	77	77	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	244				43				
20	20	155/2	155/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	245								
20	20	157/2	157/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	246				44				
20	20	153/2	153/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	247		articStaccatoBelow						
20	20	78	78	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	248		articStaccatoBelow						
20	20	153/2	153/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	249		articStaccatoBelow						
20	20	78	78	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	250		articStaccatoBelow						
21	21	79	79	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	251								
21	21	80	80	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	252								
21	21	161/2	161/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	253								
21	21	163/2	163/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	254				45				
21	21	159/2	159/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	255		articStaccatoBelow		46				
21	21	80	80	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	256		articStaccatoBelow						
21	21	161/2	161/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	257								
21	21	159/2	159/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	258		articStaccatoBelow		47				
21	21	80	80	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	259		articStaccatoBelow						
21	21	161/2	161/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	260								
22	22	82	82	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	261								
22	22	83	83	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	262				48				
22	22	167/2	167/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	263								
22	22	169/2	169/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	264				49				
22	22	165/2	165/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	265		articStaccatoBelow						
22	22	84	84	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	266		articStaccatoBelow						
22	22	165/2	165/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	267		articStaccatoBelow						
22	22	84	84	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	268		articStaccatoBelow						
23	23	85	85	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	269				50				
23	23	86	86	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	270				50				
23	23	86	86	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	271				50				
23	23	86	86	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	272				50				
23	23	86	86	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	273				50				
23	23	86	86	0.375	1/4	1/4	Chord	6/8	1	1	3/32		1/16	3/2	274				50				
23	23	691/8	691/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	275				50				
23	23	173/2	173/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	276								
23	23	175/2	175/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	277								
23	23	171/2	171/2	0.0	1/8	1/8	Spanner	6/8	1	2	0									1			
23	23	171/2	171/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	278					1			
23	23	86	86	0.0	1/4	1/4	Spanner	6/8	1	2	0												
23	23	86	86	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	279								
23	23	173/2	173/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	280								
23	23	171/2	171/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	281								
23	23	86	86	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	282								
23	23	173/2	173/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	283								
24	24	88	88	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12""/>dolciss."					
24	24	88	88	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	284		articStaccatoAbove		51				
24	24	177/2	177/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	285		articStaccatoAbove		51				
24	24	89	89	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	286		articStaccatoAbove						
24	24	179/2	179/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	287								
24	24	359/4	359/4	0.0	7/16	7/16	Spanner	6/8	1	1	0									2			
24	24	181/2	181/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	288				52	2			
24	24	88	88	0.25	0	0	Chord	6/8	1	2	1/16		1/16	1	289					2			
24	24	353/4	353/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	290					2			
24	24	177/2	177/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16		1/16	1	291					2			
24	24	355/4	355/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16		1/16	1	292					2			
24	24	89	89	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	293					2			
24	24	357/4	357/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	294					2			
24	24	179/2	179/2	0.25	3/8	3/8	Chord	6/8	1	2	1/16		1/16	1	295					2			
24	24	359/4	359/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	296					2			
24	24	90	90	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	297					2			
24	24	361/4	361/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	298					2			
24	24	181/2	181/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	299					2			
24	24	363/4	363/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	300					2			
24	24	88	88	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	301								
24	24	179/2	179/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	302								
25	25	91	91	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	303				52	2			
25	25	365/4	365/4	0.0	1/16	1/16	Spanner	6/8	1	1	0								52				
25	25	183/2	183/2	0.75	1/8	1/8	Chord	6/8	1	1	3/16		1/8	3/2	304				52				
25	25	369/4	369/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	305								
25	25	185/2	185/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	306								
25	25	187/2	187/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	307								
25	25	91	91	0.25	0	0	Chord	6/8	1	2	1/16		1/16	1	308								
25	25	365/4	365/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	309								
25	25	183/2	183/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16		1/16	1	310								
25	25	367/4	367/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16		1/16	1	311								
25	25	92	92	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	312								
25	25	369/4	369/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	313								
25	25	185/2	185/2	0.25	3/8	3/8	Chord	6/8	1	2	1/16		1/16	1	314								
25	25	371/4	371/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	315								
25	25	93	93	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	316								
25	25	373/4	373/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	317								
25	25	91	91	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	318								
25	25	183/2	183/2	0.75	1/8	1/8	Chord	6/8	2	1	3/16		1/8	3/2	319								
25	25	369/4	369/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	320								
25	25	185/2	185/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	321								
25	25	91	91	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	322								
25	25	185/2	185/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	323								
26	26	94	94	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	324		articAccentAbove		53				
26	26	379/4	379/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	325				53				
26	26	95	95	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	326								
26	26	191/2	191/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	327								
26	26	193/2	193/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	328								
26	26	377/4	377/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	329		articStaccatoBelow		54				
26	26	189/2	189/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16		1/16	1	330		articStaccatoBelow		54				
26	26	379/4	379/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16		1/16	1	331		articStaccatoBelow						
26	26	383/4	383/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	332		articStaccatoBelow		55				
26	26	96	96	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	333		articStaccatoBelow		55				
26	26	385/4	385/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	334		articStaccatoBelow						
26	26	377/4	377/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	335		articStaccatoAbove		56				
26	26	189/2	189/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	336		articStaccatoAbove		56				
26	26	379/4	379/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	337		articStaccatoAbove						
26	26	383/4	383/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	338		articStaccatoAbove		57				
26	26	96	96	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	339		articStaccatoAbove		57				
26	26	385/4	385/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	340		articStaccatoAbove						
27	27	97	97	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	341				58				
27	27	195/2	195/2	0.0	1/8	1/8	Chord	4/4	1	1	0	acciaccatura	1/8	1	342				58				
27	27	195/2	195/2	0.75	1/8	1/8	Chord	4/4	1	1	3/16		1/8	3/2	343				58				
27	27	393/4	393/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	344								
27	27	197/2	197/2	1.5	3/8	3/8	Chord	4/4	1	1	3/8		1/4	3/2	345								
27	27	389/4	389/4	0.0	1/16	1/16	Spanner	4/4	1	2	0									3			
27	27	389/4	389/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	346					3			
27	27	391/4	391/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	347					3			
27	27	393/4	393/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	348					3			
27	27	197/2	197/2	0.0	3/8	3/8	Spanner	4/4	1	2	0												
27	27	389/4	389/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	349								
27	27	391/4	391/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	350								
27	27	393/4	393/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	351								
27	27	197/2	197/2	1.5	3/8	3/8	Chord	4/4	2	1	3/8		1/4	3/2	352								
28	28	101	101	0.0	0	0	Dynamic	4/4	1	1	0					f							
28	28	101	101	0.0	0	0	StaffText	4/4	1	1	0							Lento					
28	28	101	101	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	353				59				
28	28	102	102	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	354				59				
28	28	205/2	205/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	355				59				
28	28	103	103	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	356				59				
29	29	105	105	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	357				59				
29	29	106	106	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	358				59				
29	29	213/2	213/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	359				59				
29	29	107	107	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	360				59				
30	30	109	109	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	361								
30	30	111	111	0.0	1/2	1/2	Dynamic	4/4	2	1	0					p							
30	30	111	111	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	362				60				
30	30	112	112	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	363				60				
30	30	225/2	225/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	364				60				
31	31	113	113	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	365				60				
31	31	115	115	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	366				60				
31	31	116	116	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	367				60				
31	31	233/2	233/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	368				60				
32	32	117	117	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	369				60				
32	32	119	119	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	370								
33	33	121	121	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>accel."					
33	33	121	121	0.0	0	0	Dynamic	4/4	1	1	0					p							
33	33	121	121	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	371				61				
33	33	485/4	485/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	372				61				
33	33	243/2	243/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	373								
33	33	122	122	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	374				62				
33	33	489/4	489/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	375				62				
33	33	245/2	245/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	376								
33	33	123	123	0.0	1/2	1/2	Spanner	4/4	1	1	0									4			
33	33	123	123	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	377				63	4			
33	33	493/4	493/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	378				63	4			
33	33	247/2	247/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	379					4			
33	33	124	124	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	380				64	4			
33	33	497/4	497/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	381				64	4			
33	33	249/2	249/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	382					4			
33	33	121	121	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	383				65				
33	33	243/2	243/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	384				65				
33	33	487/4	487/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	385								
33	33	122	122	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	386				66				
33	33	245/2	245/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	387				66				
33	33	491/4	491/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	388								
33	33	123	123	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	389				67				
33	33	247/2	247/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	390				67				
33	33	495/4	495/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	391								
33	33	124	124	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	392				68				
33	33	249/2	249/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	393				68				
33	33	499/4	499/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	394								
34	34	125	125	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	395				69	4			
34	34	501/4	501/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	396				69	4			
34	34	251/2	251/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	397					4			
34	34	126	126	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	398				70	4			
34	34	505/4	505/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	399				70	4			
34	34	253/2	253/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	400					4			
34	34	127	127	0.0	1/2	1/2	Spanner	4/4	1	1	0												
34	34	127	127	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	401				71				
34	34	128	128	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	402		articStaccatoAbove						
34	34	125	125	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	403				72				
34	34	251/2	251/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	404				72				
34	34	503/4	503/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	405								
34	34	126	126	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	406				73				
34	34	253/2	253/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	407				73				
34	34	507/4	507/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	408								
34	34	127	127	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	409								
35	35	129	129	0.0	0	0	Spanner	4/4	1	1	0											3	
35	35	129	129	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	410				74			3	
35	35	388/3	388/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	411				74			3	
35	35	389/3	389/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	412							3	
35	35	130	130	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	413				75			3	
35	35	391/3	391/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	414				75			3	
35	35	392/3	392/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	415							3	
35	35	131	131	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	416				76			3	
35	35	394/3	394/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	417				76			3	
35	35	395/3	395/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	418							3	
35	35	132	132	0.0	3/4	3/4	StaffText	4/4	1	1	0							rall.					
35	35	132	132	0.0	3/4	3/4	Spanner	4/4	1	1	0												
35	35	132	132	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	419		articTenutoBelow		77				
35	35	398/3	398/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	420		articStaccatoAbove						
35	35	129	129	0.6666666666666666	0	0	Chord	4/4	2	1	1/6		1/4	2/3	421								
35	35	389/3	389/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	422								
35	35	130	130	0.6666666666666666	1/4	1/4	Chord	4/4	2	1	1/6		1/4	2/3	423								
35	35	392/3	392/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	424								
35	35	131	131	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	425								
35	35	132	132	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	426								
35	35	129	129	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	427								
36	36	133	133	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	428				78				
36	36	400/3	400/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	429				78				
36	36	401/3	401/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	430								
36	36	134	134	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	431				79				
36	36	403/3	403/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	432				79				
36	36	404/3	404/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	433								
36	36	135	135	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	434				80				
36	36	406/3	406/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	435				80				
36	36	407/3	407/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	436								
36	36	136	136	0.0	3/4	3/4	StaffText	4/4	1	1	0							rall.					
36	36	136	136	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	437		articTenutoBelow		81				
36	36	410/3	410/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	438		articStaccatoAbove						
36	36	133	133	0.6666666666666666	0	0	Chord	4/4	2	1	1/6		1/4	2/3	439								
36	36	401/3	401/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	440								
36	36	134	134	0.6666666666666666	1/4	1/4	Chord	4/4	2	1	1/6		1/4	2/3	441								
36	36	404/3	404/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	442								
36	36	135	135	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	443								
36	36	136	136	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	444								
36	36	133	133	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	445								
37	37	137	137	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	446		articTenutoBelow		82				
37	37	413/3	413/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	447		articStaccatoAbove						
37	37	138	138	0.6666666666666666	1/4	1/4	Chord	4/4	1	1	1/6		1/4	2/3	448		articTenutoAbove		83				
37	37	416/3	416/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	449		articStaccatoAbove						
37	37	139	139	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	450		articTenutoBelow		84				
37	37	419/3	419/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	451		articStaccatoAbove						
37	37	140	140	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	452		articTenutoBelow		85				
