mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
37	37	422/3	422/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	453		articStaccatoAbove						
37	37	137	137	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	454								
37	37	138	138	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	455								
37	37	139	139	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	456								
37	37	140	140	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	457								
38	38	141	141	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	458		articTenutoBelow		86				
38	38	425/3	425/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	459		articStaccatoAbove						
38	38	142	142	0.0	1/4	1/4	StaffText	4/4	1	1	0							accel.					
38	38	142	142	0.6666666666666666	1/4	1/4	Chord	4/4	1	1	1/6		1/4	2/3	460		articTenutoAbove		87				
38	38	428/3	428/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	461		articStaccatoAbove						
38	38	143	143	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	462		articTenutoBelow		88				
38	38	431/3	431/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	463		articStaccatoAbove						
38	38	144	144	0.6666666666666666	3/4	3/4	Chord	4/4	1	1	1/6		1/4	2/3	464		articTenutoBelow		89				
38	38	434/3	434/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	465		articStaccatoAbove						
38	38	141	141	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	466								
38	38	142	142	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	467								
38	38	143	143	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	468								
38	38	144	144	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	469								
39	39	145	145	0.0	0	0	StaffText	4/4	1	1	0							Andantino					
39	39	145	145	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	470		articStaccatoAbove		90				
39	39	291/2	291/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	471		articStaccatoAbove		90				
39	39	146	146	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	472		articStaccatoAbove		90				
39	39	293/2	293/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	473		articStaccatoAbove		90				
39	39	147	147	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	474		articStaccatoAbove		90				
39	39	295/2	295/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	475		articStaccatoAbove		90				
39	39	148	148	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	476		articStaccatoAbove		90				
39	39	297/2	297/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	477		articStaccatoAbove						
39	39	145	145	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	478		articStaccatoAbove		91				
39	39	291/2	291/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	479		articStaccatoAbove		91				
39	39	146	146	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	480		articStaccatoAbove		91				
39	39	293/2	293/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	481		articStaccatoAbove		91				
39	39	147	147	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	482		articStaccatoAbove		91				
39	39	295/2	295/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	483		articStaccatoAbove		91				
39	39	148	148	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	484		articStaccatoAbove		91				
39	39	297/2	297/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	485		articStaccatoAbove						
40	40	149	149	0.0	0	0	StaffText	4/4	1	1	0							cresc.					
40	40	149	149	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	486		articStaccatoAbove		92				
40	40	299/2	299/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	487		articStaccatoAbove		92				
40	40	150	150	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	488		articStaccatoAbove		92				
40	40	301/2	301/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	489		articStaccatoAbove		92				
40	40	151	151	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	490		articStaccatoAbove		92				
40	40	303/2	303/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	491		articStaccatoAbove		92				
40	40	152	152	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	492		articStaccatoAbove		92				
40	40	305/2	305/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	493		articStaccatoAbove						
40	40	149	149	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	494		articStaccatoAbove		93				
40	40	299/2	299/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	495		articStaccatoAbove		93				
40	40	150	150	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	496		articStaccatoAbove		93				
40	40	301/2	301/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	497		articStaccatoAbove		93				
40	40	151	151	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	498		articStaccatoAbove		93				
40	40	303/2	303/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	499		articStaccatoAbove		93				
40	40	152	152	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	500		articStaccatoAbove		93				
40	40	305/2	305/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	501		articStaccatoAbove						
41	41	153	153	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	502								
41	41	309/2	309/2	0.0	3/8	3/8	StaffText	4/4	1	1	0							"<font size=""12""/>rinforz."					
41	41	309/2	309/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	503				94				
41	41	155	155	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	504				94				
41	41	156	156	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	505				94				
41	41	153	153	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	506								
41	41	309/2	309/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	507				95				
41	41	155	155	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	508				95				
41	41	156	156	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	509				95				
42	42	157	157	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	510								
42	42	317/2	317/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	511				96				
42	42	159	159	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	512				96				
42	42	160	160	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	513								
42	42	157	157	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	514								
42	42	317/2	317/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	515				97				
42	42	159	159	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	516				97				
42	42	160	160	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	517								
43	43	161	161	0.0	0	0	Spanner	4/4	1	1	0											4	
43	43	161	161	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	518							4	
43	43	645/4	645/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	519							4	
43	43	323/2	323/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	520							4	
43	43	162	162	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	521							4	
43	43	649/4	649/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	522							4	
43	43	325/2	325/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	523							4	
43	43	163	163	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	524							4	
43	43	653/4	653/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	525							4	
43	43	327/2	327/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	526							4	
43	43	164	164	0.0	3/4	3/4	Spanner	4/4	1	1	0												
43	43	164	164	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	527								
43	43	657/4	657/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	528								
43	43	329/2	329/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	529								
43	43	161	161	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	530								
43	43	645/4	645/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	531								
43	43	323/2	323/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	532								
43	43	162	162	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	533								
43	43	649/4	649/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	534								
43	43	325/2	325/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	535								
43	43	163	163	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	536								
43	43	653/4	653/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	537								
43	43	327/2	327/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	538								
43	43	164	164	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	539								
43	43	657/4	657/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	540								
43	43	329/2	329/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	541								
44	44	165	165	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/><i>dim.</i>"					
44	44	165	165	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	542								
44	44	167	167	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	543								
44	44	165	165	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	544								
44	44	661/4	661/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	545								
44	44	331/2	331/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	546								
44	44	166	166	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	547								
44	44	665/4	665/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	548								
44	44	333/2	333/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	549								
44	44	167	167	0.25	1/2	1/2	Chord	4/4	1	2	1/16		1/16	1	550								
44	44	669/4	669/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16		1/16	1	551								
44	44	335/2	335/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	552								
44	44	168	168	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	553								
44	44	673/4	673/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	554								
44	44	337/2	337/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	555								
44	44	165	165	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	556								
44	44	661/4	661/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	557								
44	44	331/2	331/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	558								
44	44	166	166	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	559								
44	44	665/4	665/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	560								
44	44	333/2	333/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	561								
44	44	167	167	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	562								
44	44	669/4	669/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	563								
44	44	335/2	335/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	564								
44	44	168	168	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	565								
44	44	673/4	673/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	566								
44	44	337/2	337/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	567								
45	45	169	169	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	568								
45	45	170	170	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	569				98				
45	45	681/4	681/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	570				98				
45	45	341/2	341/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	571				98				
45	45	683/4	683/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	572				98				
45	45	171	171	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	573				98				
45	45	685/4	685/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	574				98				
45	45	343/2	343/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	575				98				
45	45	687/4	687/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	576				98				
45	45	172	172	0.0	3/4	3/4	Spanner	4/4	1	1	0								98				0
45	45	172	172	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	577				98				0
45	45	689/4	689/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	578				98				0
45	45	345/2	345/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	579				98				0
45	45	691/4	691/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	580								0
45	45	169	169	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	581				99				
45	45	679/4	679/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	582				99				
45	45	170	170	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	583				99				
45	45	681/4	681/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	584				99				
45	45	341/2	341/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	585				99				
45	45	683/4	683/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	586				99				
45	45	171	171	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	587				99				
45	45	685/4	685/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	588				99				
45	45	343/2	343/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	589				99				
45	45	687/4	687/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	590				99				
45	45	172	172	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	591				99				
45	45	689/4	689/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	592				99				
45	45	345/2	345/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	593				99				
45	45	691/4	691/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	594								
46	46	173	173	0.0	0	0	Spanner	4/4	1	1	0												
46	46	353/2	353/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0					p							
46	46	353/2	353/2	0.0	7/8	7/8	StaffText	4/4	2	1	0							"<font size=""12""/>il"					
46	46	353/2	353/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	595				100				
47	47	177	177	0.0	0	0	StaffText	6/8	1	1	0							Adagio dolente					
47	47	355/2	355/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	596								
47	47	179	179	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	597								
47	47	177	177	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	598								
47	47	178	178	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	599				101				
47	47	357/2	357/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	600								
47	47	359/2	359/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	601				102				
47	47	177	177	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""12""/>canto espr. assai"					
47	47	355/2	355/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	602								
47	47	179	179	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	603								
48	48	361/2	361/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	604								
48	48	181	181	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	605								
48	48	363/2	363/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	606								
48	48	180	180	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	607								
48	48	181	181	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	608								
48	48	361/2	361/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	609								
48	48	181	181	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	610								
48	48	363/2	363/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	611								
48	48	365/2	365/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	612				103				
48	48	363/2	363/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	613								
49	49	367/2	367/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	614								
49	49	185	185	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	615								
49	49	183	183	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	616								
49	49	184	184	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	617				104				
49	49	369/2	369/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	618								
49	49	371/2	371/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	619				105				
49	49	367/2	367/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	620								
49	49	185	185	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	621								
50	50	186	186	0.0	0	0	Spanner	6/8	1	1	0									5			
50	50	186	186	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	622				106	5			
50	50	187	187	0.0	1/4	1/4	Spanner	6/8	1	1	0								106				
50	50	187	187	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	623				106				
50	50	187	187	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	624				106				
50	50	187	187	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	625				106				
50	50	187	187	0.0	1/4	1/4	Chord	6/8	1	1	0	grace32	1/32	1	626				106				
50	50	187	187	0.375	1/4	1/4	Chord	6/8	1	1	3/32		1/16	3/2	627				106				
50	50	1499/8	1499/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	628								
50	50	375/2	375/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	629								
50	50	377/2	377/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	630								
50	50	187	187	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	631								
50	50	375/2	375/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	632								
50	50	373/2	373/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	633				107				
50	50	187	187	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	634								
50	50	375/2	375/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	635								
51	51	189	189	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12""/>dolcissimo"					
51	51	189	189	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	636		articStaccatoAbove		108				
51	51	379/2	379/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	637		articStaccatoAbove		108				
51	51	190	190	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	638		articStaccatoAbove						
51	51	381/2	381/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							ritard.					
51	51	381/2	381/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	639								
51	51	383/2	383/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	640				109				
51	51	189	189	0.25	0	0	Chord	6/8	1	2	1/16		1/16	1	641								
51	51	757/4	757/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	642								
51	51	379/2	379/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16		1/16	1	643								
51	51	759/4	759/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16		1/16	1	644								
51	51	190	190	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	645								
51	51	761/4	761/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	646								
51	51	381/2	381/2	0.25	3/8	3/8	Chord	6/8	1	2	1/16		1/16	1	647								
51	51	763/4	763/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	648								
51	51	191	191	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	649								
51	51	765/4	765/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	650								
51	51	383/2	383/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	651								
51	51	767/4	767/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	652								
51	51	189	189	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	653								
52	52	192	192	0.0	0	0	Spanner	6/8	1	1	0								109	6			
52	52	192	192	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	654				109	6			
52	52	385/2	385/2	0.75	1/8	1/8	Chord	6/8	1	1	3/16		1/8	3/2	655				109	6			
52	52	773/4	773/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	656				109	6			
52	52	387/2	387/2	0.0	3/8	3/8	Spanner	6/8	1	1	0												
52	52	387/2	387/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	657								
52	52	389/2	389/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	658								
52	52	192	192	0.25	0	0	Chord	6/8	1	2	1/16		1/16	1	659								
52	52	769/4	769/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	660								
52	52	385/2	385/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16		1/16	1	661								
52	52	771/4	771/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16		1/16	1	662								
52	52	193	193	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	663								
52	52	773/4	773/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	664								
52	52	387/2	387/2	0.25	3/8	3/8	Chord	6/8	1	2	1/16		1/16	1	665								
52	52	775/4	775/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	666								
52	52	194	194	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	667								
52	52	777/4	777/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	668								
52	52	192	192	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	669								
52	52	387/2	387/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	670								
53	53	195	195	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12""/>agitato"					
53	53	195	195	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	671		articAccentAbove		110				
53	53	783/4	783/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	672				110				
53	53	196	196	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	673								
53	53	393/2	393/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	674								
53	53	395/2	395/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	675								
53	53	781/4	781/4	0.5	1/16	1/16	Chord	6/8	1	2	1/8		1/8	1	676								
53	53	783/4	783/4	0.5	3/16	3/16	Chord	6/8	1	2	1/8		1/8	1	677								
53	53	785/4	785/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	678								
53	53	787/4	787/4	0.5	7/16	7/16	Chord	6/8	1	2	1/8		1/8	1	679								
53	53	789/4	789/4	0.5	9/16	9/16	Chord	6/8	1	2	1/8		1/8	1	680								
53	53	791/4	791/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	681								
53	53	195	195	0.0	0	0	Spanner	6/8	2	1	0									7			
53	53	195	195	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	682					7			
